中文表名,英文表名,schema,业务域分类,来源系统候选,是否最上游源表,目录分类,数仓层线索,负责人,行数,更新时间,产出任务,被路径任务读取,路径示例
ODS_抖音_直播间主链接映射_填报,ods_douyin_live_room_main_link_detail_entry,dev,抖音主题,填报,是,源表,ods,包彦,0.0,2026-06-08 22:09:48,"直播链接（钉钉表格）【在线表格接入】(pUeSXt1NWn, 在线表格接入)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ -> qBO2jNZBhK -> K1gH9SHZT5 -> pUeSXt1NWn
ODS_抖音_全域投放推商品_RPA,ods_douyinanshangpintuiguangshuju,dev,抖音主题,影刀/RPA,是,源表,ods,包彦,0.0,2026-05-29 15:47:03,"ods-抖音全域按商品推广数据【迁移】(00uSPqQxB9, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag -> srspReyO40 -> 3HaOI1YTSj -> sX484NOPO3
ODS_抖音好评数据_填报,ods_dyhaopingshuju,cubeappdata,抖音主题,库表迁移,是,源表,ods,包彦,1789.0,2025-11-14 19:32:13,"ods_抖音好评数据【迁移】(Z3M1lFdITy, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
ODS_抖音刷单数据_填报,ods_dyshuandanshuju,dev,抖音主题,库表迁移,是,源表,ods,包彦,0.0,2026-05-29 15:26:25,"ods_抖音刷单数据【迁移】(JoeKH6qxcq, 库表迁移)",,Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
STD_商品历史成本表(聚水潭标准API),std_api_jstbz_product_history_cost_info_f,dev,公共维表/成本/组织,聚水潭/ERP,是,源表,std,管理员,0.0,2026-05-16 11:36:01,"std_api_jstbz_product_history_cost_info_f【EtlDevelop任务】(bT8csKdyGj, etl开发任务)",std_api_jstbz_product_history_cost_info_f【EtlDevelop任务】(bT8csKdyGj),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
STD_达人佣金预估,ud_3418004512502203_sdryjyg,cubeappdata,抖音主题,未知,是,源表,不规范命名,包彦,218295.0,2026-07-18 02:25:06,"1.3 STD_抖音账单流水数据清晰-STD_达人佣金预估【刷新】(kdqUt9TvHS, 分析存表刷新)",1.3 STD_抖音账单流水数据清晰-STD_达人佣金预估【刷新】(kdqUt9TvHS),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
STD_抖音_售后单明细（抖店API）,ud_3418004512502203_sdyshsjqx,cubeappdata,抖音主题,抖店/API,是,源表,不规范命名,包彦,241621.0,2026-07-18 02:14:06,"1.2 STD_抖音售后数据清洗-STD_抖音售后数据清洗【刷新】(HdaYLSZ0jU, 分析存表刷新)",1.2 STD_抖音售后数据清洗-STD_抖音售后数据清洗【刷新】(HdaYLSZ0jU),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
STD_抖音_推广消耗明细,ud_3418004512502203_sdytgsj,cubeappdata,抖音主题,未知,是,源表,不规范命名,包彦,87001.0,2026-07-18 10:06:41,"1.4抖音推广数据-std_抖音推广数据【刷新】(sD6L0X74Ag, 分析存表刷新)",1.4抖音推广数据-std_抖音推广数据【刷新】(sD6L0X74Ag),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> W5WDKhMdo4 -> sD6L0X74Ag
STD_抖音_ERP销售订单明细表,ud_3418004512502203_sjstdyxsddxx,dev,抖音主题,聚水潭/ERP,是,源表,不规范命名,包彦,0.0,2026-05-29 15:56:16,"1.11STD聚水潭抖音—销售数据清洗-std_聚水潭抖音销售订单信息表【刷新】(251Uny8XjY, 分析存表刷新)",1.11STD聚水潭抖音—销售数据清洗-std_聚水潭抖音销售订单信息表【刷新】(251Uny8XjY),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
STD_抖音_订单销售明细,ud_3418004512502203_sxssjqx,cubeappdata,抖音主题,未知,是,源表,不规范命名,包彦,897544.0,2026-07-18 05:23:02,"1.1 STD_抖音销售清洗表-STD_销售数据清洗【刷新】(5aMpRAhBmy, 分析存表刷新)",1.1 STD_抖音销售清洗表-STD_销售数据清洗【刷新】(5aMpRAhBmy),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> 994SOzLTQV -> 5aMpRAhBmy
STD_抖音_链接直播间人力成本明细,ud_4971200913022541_ddyzbjrlcb,cubeappdata,抖音主题,未知,是,源表,不规范命名,包彦,522.0,2026-07-18 05:15:33,"1.5 抖音直播间人力成本清洗-dwd_抖音直播间人力成本【刷新】(2hsVfz4qE0, 分析存表刷新)",1.5 抖音直播间人力成本清洗-dwd_抖音直播间人力成本【刷新】(2hsVfz4qE0),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
STD_抖音_推广消耗明细_巨量千川,ud_4971200913022541_sdytgxhmxjlq,bi_datalake,抖音主题,巨量千川/投放,是,源表,不规范命名,包彦,30239.0,2026-07-18 05:18:48,"1.6 千川推广数据清洗-STD_抖音_推广消耗明细_巨量千川【刷新】(bI86bM7BvJ, 分析存表刷新)",1.6 千川推广数据清洗-STD_抖音_推广消耗明细_巨量千川【刷新】(bI86bM7BvJ),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> qjk10d4W7h -> bI86bM7BvJ
DIM_商品历史成本表(聚水潭标准API),ud_6816162936700995_jgb,bi_datalake,公共维表/成本/组织,聚水潭/ERP,是,源表,不规范命名,蒋秀坤,168165.0,2026-07-18 02:31:24,"商品历史成本价众数清洗-结果表【刷新】(YLclnZKfcH, 分析存表刷新)",商品历史成本价众数清洗-结果表【刷新】(YLclnZKfcH),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> RggJA8Sv0l -> GKM7p7i4nh -> yZq4ZcYKSY -> lI6tx3AsC7 -> I3wRsmNT14 -> MUuQqC8Ik3
1.1.2 STD_抖音销售清洗表-货品详情,ud_6816162936700995_n112sdyxsqxb,bi_datalake,抖音主题,未知,是,源表,不规范命名,蒋秀坤,897544.0,2026-07-18 05:21:24,"1.1.2 STD_抖音销售清洗表-货品详情-1.1.2 STD_抖音销售清洗表-货品详情【刷新】(XVR0tvuk7I, 分析存表刷新)",1.1.2 STD_抖音销售清洗表-货品详情-1.1.2 STD_抖音销售清洗表-货品详情【刷新】(XVR0tvuk7I),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> 994SOzLTQV -> 5aMpRAhBmy -> M8qi0iwCWh -> 6M8cE9aaiA -> XVR0tvuk7I
1.1.3 STD_抖音销售清洗表运单号,ud_6816162936700995_n113sdyxsqxb,bi_datalake,抖音主题,未知,是,源表,不规范命名,蒋秀坤,681477.0,2026-07-18 04:58:21,"1.1.3 STD_抖音销售清洗表运单号-1.1.3 STD_抖音销售清洗表运单号【刷新】(jK2dakuj7Q, 分析存表刷新)",1.1.3 STD_抖音销售清洗表运单号-1.1.3 STD_抖音销售清洗表运单号【刷新】(jK2dakuj7Q),Ghu44PRchu -> PmOkCMF2rf -> ayK47N3cOU -> k5gRwv2JLE -> 5Mg7F1AfFT -> FpM1x7YM9G -> nhgdWWKApC -> 994SOzLTQV -> 5aMpRAhBmy -> M8qi0iwCWh -> 6M8cE9aaiA -> jK2dakuj7Q
